frame,zone,width_mm,slot_len_mm,dy
743,3,5.876,60.5,3
745,3,6.392,55.5,5
779,2,5.814,55.8,5
781,2,5.658,58.2,3
783,2,5.352,63.0,5
783,3,6.105,58.2,5
785,2,5.969,57.0,3
785,3,5.732,62.0,3
787,2,5.755,60.1,4
789,2,6.058,57.2,4
789,3,6.119,58.4,4
791,2,5.957,57.5,3
791,3,6.132,58.5,3
793,2,5.531,60.9,4
793,3,6.157,58.8,4
795,2,5.771,57.2,3
795,3,5.808,62.8,3
797,2,5.76,56.5,4
797,3,5.744,62.8,4
799,2,5.607,57.5,3
799,3,5.761,62.0,3
801,2,5.734,55.4,4
801,3,5.992,58.5,4
803,3,6.106,56.5,4
839,3,6.044,55.5,3
841,2,6.361,55.0,2
841,3,6.04,56.6,2
843,2,6.389,55.5,3
843,3,5.791,60.0,3
845,2,6.122,58.9,3
845,3,5.634,62.2,3
847,2,6.322,58.9,3
847,3,5.609,63.2,3
849,2,6.287,60.4,5
849,3,5.599,63.5,5
851,2,5.703,66.4,4
851,3,5.607,63.5,4
853,2,6.416,58.5,3
853,3,5.622,63.8,3
855,2,6.305,58.8,3
855,3,5.556,64.0,3
857,2,5.366,68.2,3
857,3,5.505,64.2,3
859,2,6.163,58.5,4
859,3,5.398,64.0,4
861,2,6.111,58.2,2
861,3,5.407,63.2,2
863,2,5.066,68.5,4
863,3,5.31,62.8,4
865,2,5.003,68.2,3
865,3,5.561,59.5,3
867,2,5.0,68.2,3
867,3,5.784,57.2,3
869,2,5.75,59.0,3
871,2,6.142,55.2,3
881,2,4.949,68.8,4
883,2,5.292,64.5,3
885,2,5.012,69.2,3
885,3,4.919,62.8,3
887,2,5.061,69.2,2
887,3,4.767,63.9,2
889,2,5.122,69.5,2
889,3,4.828,64.0,2
891,2,5.214,69.2,3
891,3,4.975,62.8,3
893,2,5.329,68.9,2
893,3,5.134,61.6,2
895,2,5.487,69.2,5
895,3,5.311,60.5,5
897,2,5.599,69.0,3
897,3,5.31,60.5,3
899,2,5.712,69.5,4
899,3,5.452,59.0,4
901,2,5.731,69.5,3
901,3,5.52,57.9,3
903,2,5.805,69.2,3
903,3,5.527,58.0,3
905,2,5.766,69.0,4
907,2,5.868,69.8,3
907,3,5.494,58.9,3
909,2,5.857,68.8,7
909,3,5.236,61.2,7
911,2,6.078,65.2,4
911,3,5.1,63.0,4
913,2,6.495,60.1,6
913,3,5.098,63.6,6
915,2,6.619,58.4,2
915,3,5.135,62.2,2
917,2,6.736,56.5,4
917,3,5.333,59.0,4
919,2,6.731,55.5,4
